1,A Flock of Seagulls
2,Acoustic Alchemy
3,Alison Krauss
4,Angus Stone
5,Julia Stone
6,Arctic Monkeys
7,Arlo Guthrie
8,Average White Band
9,Belinda Carlisle
10,Big Country
11,Black Lodge Singers
12,Bob Dylan
13,Chris de Burgh
14,Chris Rea
15,Country Joe
16,The Fish
17,Daughter
18,Dave Dobbyn
19,Herbs
20,David Byrne
21,St. Vincent
22,Don McLean
23,Earl Klugh
24,Enigma
25,Enya
26,Evanescence
27,Faith Hill
28,Feist
29,Fleetwood Mac
30,Flogging Molly
31,Gael Force
32,Gin Wigmore
33,Icehouse
34,Imagine Dragons
35,Jackson Browne
36,James Taylor
37,The Dixie Chicks
38,Jethro Tull
39,Joe Cocker
40,Lee Ann Womack
42,Lynyrd Skynyrd
43,Maria Muldaur
44,Matthew Sweet
45,Susanna Hoffs
46,Mother Earth
47,Mum
48,Mumford & Sons
49,Nancy Wilson
50,Nina Simone
51,Oceania
52,Owl City
53,Pet Shop Boys
54,Pink Floyd
55,Rickie Lee Jones
56,Ronan Keating
57,Sarah Slean
58,Shone Laing
59,Soul Divas
60,St. Germain
62,Stevie Wonder
63,The Bangles
64,The Civil Wars
65,The Cranberries
66,The Front Lawn
67,The Nolans
68,The Wailin' Jennys
69,Three Decades Of Males
70,Varios
71,Wai.Tai
72,Wendy Matthews
73,Wilson Philips
74,Wolfstone
75,Xavier Rudd
76,As Good As It Gets
